title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
제주조각공원,3,361.0,2023-11-15,13.23076923076923,16,11,30,4,12.697748
왕따나무,10,262.0,2023-11-21,14.5,17,12,0,1,12.695307
중문승마공원,5,385.0,2023-11-15,15.307692307692308,18,13,30,4,12.691989
오저여,6,257.0,2023-11-18,10.25,13,7,60,4,12.676222
용담포구,11,267.0,2023-11-19,14.5,18,11,10,1,12.667757
월령포구,10,281.0,2023-11-20,14.0,16,12,0,1,12.666514
중문카트,5,386.0,2023-11-15,15.307692307692308,18,13,30,4,12.663636
어음리억새군락지,7,245.0,2023-11-16,12.583333333333334,16,10,73,4,12.64717
성산세화해안도로,6,175.0,2023-11-15,12.0,15,9,30,4,12.646533
포레스트사파리,8,427.0,2023-11-20,14.5,17,12,0,1,12.634198
태웃개,0,415.0,2023-11-19,14.5,18,11,10,1,12.632827
혼인지,2,466.0,2023-11-17,10.583333333333334,13,8,60,4,12.632743
고성오일시장,2,24.0,2023-11-21,13.5,18,9,0,1,12.623537
돌하르방미술관,8,80.0,2023-11-21,14.5,19,10,0,1,12.620018
오라동메밀밭,11,255.0,2023-11-19,14.5,18,11,10,1,12.618535
돈내코계곡,5,78.0,2023-11-23,14.5,17,12,40,4,12.600779
포레스트사파리,8,427.0,2023-11-21,14.5,19,10,0,1,12.600115
세리월드카트레이싱,5,187.0,2023-11-19,14.5,18,11,10,1,12.588369
산방산유람선,3,137.0,2023-11-16,13.5,17,12,64,4,12.572285
와흘메밀마을 체험힐링센터,8,260.0,2023-11-19,14.5,18,11,10,1,12.56976
만장굴매표소,6,97.0,2023-11-19,13.0,18,8,10,1,12.566673
삼무공원,11,143.0,2023-11-24,11.5,13,10,40,4,12.54977
화순곶자왈생태탐방숲길,3,469.0,2023-11-18,10.791666666666666,13,8,60,4,12.541058
함덕오일시장,8,456.0,2023-11-19,14.5,18,11,10,1,12.534076
짱구네유채꽃밭,2,392.0,2023-11-23,14.0,17,11,40,4,12.529346
테디베어사파리,7,417.0,2023-11-18,10.916666666666666,13,8,60,4,12.526118
삼성혈,11,144.0,2023-11-16,13.291666666666666,17,11,75,4,12.523281
고성오일시장,2,24.0,2023-11-18,11.416666666666666,14,9,60,4,12.519863
제주제트중문점,5,360.0,2023-11-17,11.958333333333334,15,10,60,4,12.514822
성산세화해안도로,6,175.0,2023-11-17,9.708333333333334,12,7,60,4,12.513384
월정리투명카약,6,282.0,2023-11-18,10.25,13,7,60,4,12.506913
돈내코계곡,5,78.0,2023-11-16,15.333333333333334,19,13,66,4,12.484456
성산세화해안도로,6,175.0,2023-11-23,14.0,17,11,40,4,12.472884
엉알해안산책로,9,249.0,2023-11-21,14.5,17,12,0,1,12.460009
제주불빛정원,7,329.0,2023-11-16,12.583333333333334,16,10,73,4,12.459591
쇠소깍해변,5,200.0,2023-11-24,11.5,13,10,40,4,12.4452505
안덕산방도서관,3,234.0,2023-11-19,14.5,18,11,10,1,12.44056
고내포구,7,23.0,2023-11-15,12.461538461538462,15,10,30,4,12.433888
궷물오름,7,36.0,2023-11-17,10.083333333333334,12,8,60,4,12.412954
산방굴사,3,134.0,2023-11-18,10.791666666666666,13,8,60,4,12.408436
고스트타운,7,25.0,2023-11-18,10.916666666666666,13,8,60,4,12.406004
제주세계자연유산센터,8,331.0,2023-11-21,14.5,19,10,0,1,12.401417
돌하르방미술관,8,80.0,2023-11-20,14.5,17,12,0,1,12.400952
노루생태관찰원,11,55.0,2023-11-15,13.307692307692308,16,11,30,4,12.399687
서귀포칠십리공원,5,161.0,2023-11-16,15.333333333333334,19,13,66,4,12.398253
제주다원녹차미로공원,5,312.0,2023-11-18,11.75,15,9,60,4,12.395853
이호랜드방파제등대,11,295.0,2023-11-24,11.5,13,10,40,4,12.390348
탐라승마장,8,413.0,2023-11-24,11.5,13,10,40,4,12.383614
한림민속오일시장,10,452.0,2023-11-23,15.0,17,13,40,4,12.375911
한라산,11,442.0,2023-11-16,13.291666666666666,17,11,75,4,12.369909
강정마을해안도로,5,11.0,2023-11-23,14.5,17,12,40,4,12.365689
제주세계자연유산센터,8,331.0,2023-11-23,14.5,17,12,40,4,12.346828
비양도선착장,10,123.0,2023-11-23,15.0,17,13,40,4,12.341215
사계항,3,128.0,2023-11-16,13.5,17,12,64,4,12.331528
생각하는정원,9,154.0,2023-11-16,13.0,16,10,62,4,12.331528
붉은오름,4,118.0,2023-11-16,12.666666666666666,17,10,60,4,12.331528
비양도,10,122.0,2023-11-16,12.458333333333334,16,9,68,4,12.331528
유채꽃프라자,4,291.0,2023-11-16,12.666666666666666,17,10,60,4,12.331528
힐링카약파크비체올린,9,481.0,2023-11-16,13.0,16,10,62,4,12.331528
5.16도로숲터널,0,3.0,2023-11-16,12.708333333333334,17,10,62,4,12.331528
그리스신화박물관,10,40.0,2023-11-16,12.458333333333334,16,9,68,4,12.331528
제주유리의성,9,357.0,2023-11-16,13.0,16,10,62,4,12.331528
노리매,1,56.0,2023-11-16,13.291666666666666,17,11,67,4,12.331528
김영갑갤러리두모악,2,51.0,2023-11-16,13.083333333333334,17,10,60,4,12.331528
제주해양동물박물관,2,369.0,2023-11-16,13.083333333333334,17,10,60,4,12.331528
휴애리수국축제,0,479.0,2023-11-16,12.708333333333334,17,10,62,4,12.331528
섭지코지전망대,2,173.0,2023-11-16,13.083333333333334,17,10,60,4,12.331528
유민미술관,2,290.0,2023-11-16,13.083333333333334,17,10,60,4,12.331528
형제해안도로,1,465.0,2023-11-16,13.291666666666666,17,11,67,4,12.331528
가파도,1,8.0,2023-11-16,13.291666666666666,17,11,67,4,12.331528
